Order ID,Order Number,Order Created At,Customer ID,Line Items,Billing Address Country,Net (USD)
695518,#695518,2022-01-06 00:00:00,421796.0,KodeKloud Monthly Subscription x1,AR,17.5
695527,#695527,2022-01-06 00:07:00,543072.0,KodeKloud Professional Monthly x1,NL,37.56
695533,#695533,2022-01-06 00:11:00,,KodeKloud Professional Monthly x1,US,35.0
695536,#695536,2022-01-06 00:12:00,652831.0,KodeKloud Monthly Subscription x1,NG,6.0
695551,#695551,2022-01-06 00:15:00,302472.0,KodeKloud Professional Monthly x1,US,35.0
695563,#695563,2022-01-06 00:18:00,10696.0,KodeKloud Monthly Subscription x1,KR,17.5
695566,#695566,2022-01-06 00:21:00,212811.0,KodeKloud Monthly Subscription x1,IN,6.44
695569,#695569,2022-01-06 00:22:00,545208.0,KodeKloud Monthly Subscription x1,IN,6.44
695581,#695581,2022-01-06 00:31:00,652846.0,KodeKloud Monthly Subscription x1,IN,6.43
695590,#695590,2022-01-06 00:31:00,350990.0,KodeKloud Professional Monthly x1,US,35.0
695608,#695608,2022-01-06 00:40:00,644695.0,KodeKloud Professional Monthly x1,CA,38.76
695623,#695623,2022-01-06 00:43:00,11687.0,KodeKloud Monthly Subscription x1,IN,6.43
695635,#695635,2022-01-06 00:46:00,488193.0,KodeKloud Monthly Subscription x1,GR,18.78
695638,#695638,2022-01-06 00:46:00,149664.0,KodeKloud Monthly Subscription x1,CA,19.38
695647,#695647,2022-01-06 00:55:00,652888.0,KodeKloud Yearly Subscription x1,IN,38.57
695662,#695662,2022-01-06 01:05:00,599064.0,KodeKloud Monthly Subscription x1,US,35.0
695689,#695689,2022-01-06 01:27:00,257628.0,KodeKloud Monthly Subscription x1,US,17.5
695710,#695710,2022-01-06 01:38:00,652966.0,KodeKloud Professional Yearly x1,US,228.0
695725,#695725,2022-01-06 01:40:00,148278.0,KodeKloud Monthly Subscription x1,US,17.5
695728,#695728,2022-01-06 01:41:00,387935.0,KodeKloud Professional Monthly x1,IN,12.87
695737,#695737,2022-01-06 01:45:00,143907.0,KodeKloud Monthly Subscription x1,US,17.5
695740,#695740,2022-01-06 01:47:00,607273.0,KodeKloud Yearly Subscription x1,IN,38.57
695746,#695746,2022-01-06 01:48:00,279576.0,KodeKloud Professional Yearly x1,US,228.0
695767,#695767,2022-01-06 01:53:00,616882.0,KodeKloud Professional Yearly x1,US,228.0
695776,#695776,2022-01-06 01:54:00,146391.0,KodeKloud Professional Monthly x1,IN,25.74
695779,#695779,2022-01-06 01:54:00,200763.0,KodeKloud Monthly Subscription x1,US,17.5
695794,#695794,2022-01-06 02:00:00,143934.0,KodeKloud Monthly Subscription x1,ES,18.79
695803,#695803,2022-01-06 02:09:00,445460.0,KodeKloud Monthly Subscription x1,US,35.0
695821,#695821,2022-01-06 02:14:00,9602.0,KodeKloud Professional Monthly x1,US,35.0
695824,#695824,2022-01-06 02:16:00,653017.0,KodeKloud Professional Yearly x1,CH,228.0
695830,#695830,2022-01-06 02:18:00,543321.0,KodeKloud Professional Monthly x1,GB,44.16
695833,#695833,2022-01-06 02:18:00,543303.0,KodeKloud Professional Monthly x1,US,35.0
695836,#695836,2022-01-06 02:19:00,106109.0,KodeKloud Yearly Subscription x1,IN,38.57
695845,#695845,2022-01-06 02:19:00,543306.0,KodeKloud Professional Monthly x1,US,35.0
695857,#695857,2022-01-06 02:21:00,205524.0,KodeKloud Monthly Subscription x1,ES,18.79
695863,#695863,2022-01-06 02:23:00,653041.0,KodeKloud Yearly Subscription x1,US,114.0
695890,#695890,2022-01-06 02:36:00,138540.0,KodeKloud Monthly Subscription x1,CL,17.5
695905,#695905,2022-01-06 02:44:00,349178.0,KodeKloud Professional Monthly x1,IN,12.86
695914,#695914,2022-01-06 02:55:00,653083.0,KodeKloud Monthly Subscription x1,GB,22.08
695920,#695920,2022-01-06 02:57:00,101498.0,KodeKloud Monthly Subscription x1,CO,28.0
695932,#695932,2022-01-06 03:03:00,125243.0,KodeKloud Professional Monthly x1,IN,12.87
695935,#695935,2022-01-06 03:06:00,328038.0,KodeKloud Monthly Subscription x1,FR,18.79
695944,#695944,2022-01-06 03:11:00,430880.0,KodeKloud Monthly Subscription x1,IN,12.87
695947,#695947,2022-01-06 03:16:00,18673.0,KodeKloud Monthly Subscription x1,US,17.5
695953,#695953,2022-01-06 03:18:00,2212.0,KodeKloud Monthly Subscription x1,DE,18.79
695956,#695956,2022-01-06 03:20:00,543078.0,KodeKloud Monthly Subscription x1,DE,18.79
695959,#695959,2022-01-06 03:20:00,353099.0,KodeKloud Monthly Subscription x1,US,17.5
695962,#695962,2022-01-06 03:20:00,653110.0,KodeKloud Professional Monthly x1,US,35.0
695977,#695977,2022-01-06 03:27:00,242466.0,KodeKloud Monthly Subscription x1,US,17.5
695983,#695983,2022-01-06 03:28:00,617161.0,KodeKloud Monthly Subscription x1,RS,17.5
695989,#695989,2022-01-06 03:29:00,543423.0,KodeKloud Monthly Subscription x1,ZA,17.5
695995,#695995,2022-01-06 03:29:00,261018.0,KodeKloud Monthly Subscription x1,PL,17.5
695998,#695998,2022-01-06 03:32:00,304983.0,KodeKloud Monthly Subscription x1,NL,18.79
696004,#696004,2022-01-06 03:45:00,11774.0,KodeKloud Professional Yearly x1,IN,77.18
696010,#696010,2022-01-06 03:47:00,7043.0,KodeKloud Monthly Subscription x1,US,17.5
696016,#696016,2022-01-06 03:50:00,636994.0,KodeKloud Monthly Subscription x1,UA,17.5
696037,#696037,2022-01-06 04:06:00,653086.0,KodeKloud Professional Yearly x1,US,228.0
696058,#696058,2022-01-06 04:13:00,351266.0,KodeKloud Monthly Subscription x1,US,17.5
696067,#696067,2022-01-06 04:16:00,653194.0,KodeKloud Professional Yearly x1,US,228.0
696088,#696088,2022-01-06 04:20:00,257826.0,KodeKloud Monthly Subscription x1,US,17.5
696094,#696094,2022-01-06 04:20:00,262350.0,KodeKloud Monthly Subscription x1,AM,17.5
696097,#696097,2022-01-06 04:23:00,298041.0,KodeKloud Monthly Subscription x1,US,14.0
696100,#696100,2022-01-06 04:25:00,599274.0,KodeKloud Monthly Subscription x1,US,35.0
696106,#696106,2022-01-06 04:34:00,86149.0,KodeKloud Monthly Subscription x1,US,17.5
696109,#696109,2022-01-06 04:35:00,653203.0,KodeKloud Yearly Subscription x1,US,114.0
696118,#696118,2022-01-06 04:42:00,349202.0,KodeKloud Monthly Subscription x1,US,17.5
696121,#696121,2022-01-06 04:42:00,404834.0,KodeKloud Monthly Subscription x1,AR,17.5
696127,#696127,2022-01-06 04:43:00,653215.0,KodeKloud Professional Yearly x1,US,228.0
696133,#696133,2022-01-06 04:45:00,494004.0,KodeKloud Professional Monthly x1,US,35.0
696136,#696136,2022-01-06 04:47:00,346007.0,KodeKloud Monthly Subscription x1,BR,20.93
696142,#696142,2022-01-06 04:48:00,5563.0,KodeKloud Monthly Subscription x1,EG,17.5
696145,#696145,2022-01-06 04:48:00,184911.0,KodeKloud Monthly Subscription x1,US,17.5
696148,#696148,2022-01-06 04:53:00,599295.0,KodeKloud Monthly Subscription x1,US,17.5
696154,#696154,2022-01-06 04:57:00,494016.0,KodeKloud Professional Monthly x1,US,35.0
696157,#696157,2022-01-06 04:57:00,259629.0,KodeKloud Monthly Subscription x1,FR,18.79
696163,#696163,2022-01-06 05:00:00,445601.0,KodeKloud Monthly Subscription x1,GB,44.11
696175,#696175,2022-01-06 05:08:00,257307.0,KodeKloud Monthly Subscription x1,US,17.5
696178,#696178,2022-01-06 05:10:00,110648.0,KodeKloud Professional Monthly x1,US,35.0
696181,#696181,2022-01-06 05:12:00,207657.0,KodeKloud Professional Monthly x1,GB,44.11
696187,#696187,2022-01-06 05:13:00,653233.0,KodeKloud Professional Yearly x1,US,228.0
696202,#696202,2022-01-06 05:25:00,448169.0,KodeKloud Monthly Subscription x1,US,35.0
696205,#696205,2022-01-06 05:25:00,719774.0,KodeKloud Monthly Subscription x1,TR,17.5
696211,#696211,2022-01-06 05:28:00,439145.0,KodeKloud Professional Monthly x1,US,35.0
696214,#696214,2022-01-06 05:29:00,259260.0,KodeKloud Monthly Subscription x1,US,17.5
696217,#696217,2022-01-06 05:39:00,,KodeKloud Monthly Subscription x1,ES,18.78
696223,#696223,2022-01-06 05:48:00,449810.0,KodeKloud Monthly Subscription x1,US,17.5
696226,#696226,2022-01-06 05:48:00,319977.0,KodeKloud Monthly Subscription x1,IN,6.43
696238,#696238,2022-01-06 06:04:00,653257.0,KodeKloud Professional Monthly x1,US,35.0
696244,#696244,2022-01-06 06:05:00,375365.0,KodeKloud Monthly Subscription x1,US,17.5
696247,#696247,2022-01-06 06:17:00,230112.0,KodeKloud Yearly Subscription x1,US,114.0
696253,#696253,2022-01-06 06:18:00,545610.0,KodeKloud Monthly Subscription x1,US,17.5
696259,#696259,2022-01-06 06:28:00,488592.0,KodeKloud Professional Monthly x1,NG,18.0
696268,#696268,2022-01-06 06:39:00,527319.0,KodeKloud Yearly Subscription x1,US,114.0
696280,#696280,2022-01-06 06:49:00,431234.0,KodeKloud Monthly Subscription x1,AU,27.98
696286,#696286,2022-01-06 06:53:00,653311.0,KodeKloud Professional Yearly x1,US,228.0
696295,#696295,2022-01-06 07:04:00,490338.0,KodeKloud Professional Monthly x1,AU,28.01
696298,#696298,2022-01-06 07:09:00,261192.0,KodeKloud Monthly Subscription x1,AU,14.0
696310,#696310,2022-01-06 07:18:00,205758.0,KodeKloud Monthly Subscription x1,DE,18.79
696313,#696313,2022-01-06 07:28:00,293631.0,KodeKloud Monthly Subscription x1,NG,6.0
696325,#696325,2022-01-06 08:00:00,138366.0,KodeKloud Monthly Subscription x1,IN,6.44
