Customer ID,First Paid Order Date,First Order Date,Total Spent
1075599.0,16/11/22 16:16,16/11/22 16:16,73.73
1075299.0,16/11/22 12:35,16/11/22 12:35,86.71
1075287.0,16/11/22 12:31,16/11/22 12:31,86.71
1075248.0,16/11/22 11:40,16/11/22 11:40,228.0
1075203.0,16/11/22 10:53,16/11/22 10:53,23.23
1075191.0,16/11/22 14:52,16/11/22 14:52,228.0
1075137.0,16/11/22 10:08,16/11/22 10:08,87.01
1075131.0,16/11/22 10:41,16/11/22 10:41,159.6
1075098.0,16/11/22 11:40,16/11/22 11:40,35.0
1075035.0,16/11/22 7:33,16/11/22 7:33,159.6
1074975.0,16/11/22 6:48,16/11/22 6:48,228.0
1074933.0,16/11/22 5:59,16/11/22 5:59,73.86
1074924.0,16/11/22 5:54,16/11/22 5:54,228.0
1074912.0,16/11/22 5:44,16/11/22 5:44,228.0
1074897.0,16/11/22 5:30,16/11/22 5:30,228.0
1074882.0,16/11/22 5:22,16/11/22 5:22,159.6
1074879.0,16/11/22 5:21,16/11/22 5:21,35.0
1074864.0,16/11/22 4:59,16/11/22 4:59,228.0
1074843.0,16/11/22 5:18,16/11/22 5:18,159.6
1074822.0,16/11/22 4:22,16/11/22 4:22,228.0
1074735.0,16/11/22 6:03,16/11/22 6:03,56.0
1074732.0,16/11/22 3:40,16/11/22 3:40,87.17
1074696.0,16/11/22 3:17,16/11/22 3:17,228.0
1074639.0,16/11/22 2:27,16/11/22 2:27,146.57
1074606.0,16/11/22 3:56,16/11/22 3:56,228.0
1074501.0,16/11/22 1:22,16/11/22 1:22,87.29
1074366.0,16/11/22 0:32,16/11/22 0:32,159.6
1074321.0,15/11/22 23:47,15/11/22 23:47,14.4
1074252.0,15/11/22 23:03,15/11/22 23:03,87.34
1074210.0,15/11/22 22:47,15/11/22 22:47,327.44
1074132.0,15/11/22 22:13,15/11/22 22:13,228.0
1074072.0,15/11/22 21:56,15/11/22 21:56,87.3
1074024.0,15/11/22 21:34,15/11/22 21:34,87.35
1073979.0,15/11/22 22:14,15/11/22 22:14,228.0
1073892.0,16/11/22 1:17,16/11/22 1:17,228.0
1073880.0,15/11/22 20:26,15/11/22 20:26,87.24
1073832.0,15/11/22 19:54,15/11/22 19:54,43.43
1073802.0,15/11/22 19:51,15/11/22 19:51,285.31
1073700.0,15/11/22 18:51,15/11/22 18:51,323.54
1073691.0,15/11/22 18:47,15/11/22 18:47,87.14
1073523.0,15/11/22 17:21,15/11/22 17:21,43.57
1073487.0,15/11/22 17:03,15/11/22 17:03,200.98
1073331.0,15/11/22 15:44,15/11/22 15:44,60.86
1073295.0,15/11/22 15:27,15/11/22 15:27,228.0
1073277.0,15/11/22 15:12,15/11/22 15:12,86.94
1073064.0,15/11/22 13:33,15/11/22 13:33,86.83
1073049.0,15/11/22 13:54,15/11/22 13:54,86.85
1073001.0,15/11/22 14:26,15/11/22 14:26,14.49
1072959.0,15/11/22 13:03,15/11/22 13:03,35.0
1072908.0,15/11/22 11:36,15/11/22 11:36,87.18
1072905.0,15/11/22 11:59,15/11/22 11:35,87.01
1072896.0,15/11/22 11:28,15/11/22 11:28,87.18
1072869.0,15/11/22 10:55,15/11/22 10:55,58.51
1072860.0,15/11/22 10:21,15/11/22 10:21,87.23
1072806.0,15/11/22 9:02,15/11/22 9:02,87.24
1072797.0,15/11/22 9:19,15/11/22 9:19,35.0
1072794.0,15/11/22 8:43,15/11/22 8:43,157.6
1072593.0,15/11/22 4:09,15/11/22 4:09,153.21
1072560.0,15/11/22 4:07,15/11/22 4:07,43.05
1072446.0,15/11/22 2:37,15/11/22 2:37,87.26
1072440.0,15/11/22 3:16,15/11/22 3:16,35.0
1072362.0,15/11/22 1:21,15/11/22 1:21,87.23
1072338.0,15/11/22 1:26,15/11/22 1:26,35.0
1072302.0,16/11/22 0:18,16/11/22 0:18,87.29
1072290.0,15/11/22 0:35,15/11/22 0:35,44.11
1072260.0,15/11/22 11:50,15/11/22 11:50,87.18
1072209.0,15/11/22 1:32,15/11/22 1:32,35.0
1072200.0,14/11/22 23:44,14/11/22 23:44,279.82
1072188.0,14/11/22 23:59,14/11/22 23:59,228.0
1072125.0,14/11/22 23:00,14/11/22 23:00,87.04
1072113.0,14/11/22 23:21,14/11/22 23:21,35.0
1072077.0,14/11/22 22:46,14/11/22 22:46,60.93
1072038.0,14/11/22 22:36,14/11/22 22:36,14.52
1071921.0,14/11/22 21:47,14/11/22 21:47,42.68
1071915.0,14/11/22 21:45,14/11/22 21:45,323.12
1071912.0,14/11/22 21:44,14/11/22 21:44,471.23
1071828.0,14/11/22 21:08,14/11/22 21:08,159.6
1071819.0,16/11/22 17:09,16/11/22 17:09,86.93
1071726.0,14/11/22 20:53,14/11/22 20:53,86.98
1071714.0,14/11/22 20:33,14/11/22 20:33,86.98
1071687.0,14/11/22 20:20,14/11/22 20:20,280.44
1071681.0,14/11/22 21:27,14/11/22 21:27,173.62
1071360.0,14/11/22 20:17,14/11/22 20:17,86.98
1071303.0,14/11/22 17:47,14/11/22 17:47,52.5
1071297.0,14/11/22 17:47,14/11/22 17:47,228.0
1071081.0,14/11/22 16:12,14/11/22 16:12,228.0
1071075.0,14/11/22 19:18,14/11/22 19:18,86.96
1071072.0,14/11/22 16:07,14/11/22 16:07,159.6
1071042.0,15/11/22 14:19,15/11/22 14:19,86.85
1070952.0,14/11/22 15:01,14/11/22 15:01,87.17
1070946.0,14/11/22 15:11,14/11/22 15:11,159.6
1070913.0,14/11/22 14:45,14/11/22 14:45,228.0
1070871.0,14/11/22 14:19,14/11/22 14:19,141.22
1070778.0,14/11/22 13:34,14/11/22 13:34,88.65
1070769.0,14/11/22 13:31,14/11/22 13:31,87.17
1070760.0,14/11/22 14:19,14/11/22 14:19,87.0
1070712.0,14/11/22 13:11,14/11/22 13:11,87.17
1070703.0,14/11/22 13:04,14/11/22 13:04,87.17
1070688.0,14/11/22 12:43,14/11/22 12:43,228.0
1070658.0,14/11/22 12:18,14/11/22 12:18,87.46
1070625.0,14/11/22 11:50,14/11/22 11:50,35.0
1070571.0,14/11/22 10:59,14/11/22 10:59,87.76
1070514.0,14/11/22 9:49,14/11/22 9:49,61.44
1070325.0,14/11/22 3:39,14/11/22 3:39,35.0
1070208.0,14/11/22 2:00,14/11/22 2:00,35.0
1070070.0,14/11/22 0:09,14/11/22 0:09,122.81
1069977.0,13/11/22 22:58,13/11/22 22:58,14.64
1069953.0,13/11/22 22:36,13/11/22 22:36,122.81
1069887.0,13/11/22 21:28,13/11/22 21:28,23.42
1069818.0,13/11/22 20:42,13/11/22 20:42,56.0
1069803.0,13/11/22 20:32,13/11/22 20:32,196.79
1069614.0,13/11/22 17:24,13/11/22 17:24,35.0
1069566.0,15/11/22 3:41,15/11/22 3:41,228.0
1069449.0,13/11/22 14:17,13/11/22 14:17,319.2
1069419.0,13/11/22 13:42,13/11/22 13:42,56.0
1069386.0,13/11/22 13:18,13/11/22 13:18,122.81
1069260.0,13/11/22 7:59,13/11/22 7:59,159.6
1069161.0,13/11/22 5:17,13/11/22 5:17,12.0
1069140.0,13/11/22 4:56,13/11/22 4:56,159.6
1069062.0,13/11/22 3:15,13/11/22 3:15,43.88
1069041.0,13/11/22 3:02,13/11/22 3:02,159.6
1069011.0,13/11/22 3:00,13/11/22 3:00,23.42
1068939.0,13/11/22 1:29,13/11/22 1:29,43.88
1068762.0,2022-12-11 22:45:00,2022-12-11 22:45:00,61.44
1068666.0,2022-12-11 21:33:00,2022-12-11 21:33:00,196.31
1068648.0,2022-12-11 20:56:00,2022-12-11 20:56:00,122.88
1068633.0,2022-12-11 20:44:00,2022-12-11 20:44:00,61.44
1068528.0,2022-12-11 18:35:00,2022-12-11 18:35:00,35.0
1068480.0,2022-12-11 17:34:00,2022-12-11 17:34:00,61.41
1068384.0,14/11/22 14:25,14/11/22 14:25,58.79
1068345.0,2022-12-11 23:10:00,2022-12-11 23:10:00,122.88
1068246.0,2022-12-11 12:50:00,2022-12-11 12:50:00,56.0
1068110.0,2022-12-11 07:46:00,2022-12-11 07:46:00,104.08
1068077.0,2022-12-11 06:59:00,2022-12-11 06:59:00,319.2
1068032.0,14/11/22 2:14,14/11/22 2:14,35.0
1068023.0,2022-12-11 05:09:00,2022-12-11 05:09:00,159.6
1067813.0,2022-12-11 02:01:00,2022-12-11 02:01:00,319.2
1067777.0,15/11/22 16:17,15/11/22 16:17,14.53
1067738.0,15/11/22 10:45,15/11/22 10:45,228.0
1067525.0,2022-11-11 23:01:00,2022-11-11 23:01:00,23.41
1067519.0,2022-11-11 23:10:00,2022-11-11 23:10:00,23.41
1067513.0,2022-11-11 23:12:00,2022-11-11 23:12:00,43.56
1067504.0,2022-11-11 23:36:00,2022-11-11 23:36:00,35.0
1067381.0,2022-11-11 21:44:00,2022-11-11 21:44:00,319.2
1067342.0,2022-12-11 00:54:00,2022-12-11 00:54:00,61.34
1067252.0,2022-11-11 20:23:00,2022-11-11 20:23:00,122.47
1067117.0,2022-11-11 19:02:00,2022-11-11 19:02:00,122.33
1067108.0,2022-11-11 19:40:00,2022-11-11 19:40:00,23.32
1067078.0,2022-11-11 18:45:00,2022-11-11 18:45:00,61.18
1067021.0,2022-11-11 18:10:00,2022-11-11 18:10:00,23.33
1066982.0,2022-11-11 21:44:00,2022-11-11 21:44:00,122.81
